product_Category,product_name,product_url,product_image,product_specifications
Insulated Tools,Pliers for Electrical Installation,https://www.knipex.com/products/combination-and-multifunctional-pliers/pliers-for-electrical-installation/pliers-electrical-installation/1396200,https://www.knipex.com/sites/default/files/styles/knipex_product_detail/public/IM0007689.jpg?itok=ZmpTYYiE,"6 functions in one pair of pliers
      Multifunctional pliers for the electrical installation; to grip flat and round material, for bending, deburring, cutting cable, stripping and crimping wire ferrules
  

                

      In case of models with opening spring integrated in the joint, the activated locking lever keeps the cutting edges closed while other functions remain active
      The intelligent latching mechanism enables you to ""grip"" without opening the pliers. The cutting edge remains closed and protected.
      Smooth surfaces near the tips grip single cores without damaging them; serrated gripping surfaces and pipe grip for gripping flat and round material
      Clear-cut outside edge on the gripping surfaces for working on flush-mounted junction boxes and deburring feed-through holes
      Stripping holes for conductors of 0.75 - 1.5 mm² and 2.5 mm²
      Crimping die for wire ferrules 0.5 - 2.5 mm²
      Cable shears with (induction-hardened) precision cutting edges for copper and aluminium cables up to 5 x 2.5 mm² / Ø 15 mm
      Slim dimensions for easy access
      Bolted joint: precise, zero backlash operation of pliers
      High-grade special tool steel, forged, multi stage oil-hardened"
Cutting Pliers,High Leverage Diagonal Cutter,https://www.knipex.com/products/cutting-pliers/high-leverage-diagonal-cutters/high-leverage-diagonal-cutters/7422250,https://www.knipex.com/sites/default/files/styles/knipex_product_detail/public/IM0006740.jpg?itok=gQOFvGzp,"For very tough, continuous use
      High cutting performance with minimum effort due to optimum coordination of the cutting edge angle and transmission ratio
      Precision cutting edges additionally induction-hardened (cutting edge hardness approx. 64 HRC), for all sorts of wire including piano wire
      12° angled head offers clearance for gripping
      Chrome vanadium heavy-duty steel, forged, multi stage oil-hardened"
Electronics pliers,Electronic Super Knips®,https://www.knipex.com/products/electronics-pliers/electronic-super-knips/electronic-super-knips/7813125,https://www.knipex.com/sites/default/files/styles/knipex_product_detail/public/IM0006613.jpg?itok=vrnP2GHc,"With lead catcher - no uncontrolled loss of cut wire ends
      Cutting edge hardness approx. 54 HRC
      INOX tool steel
      Precision pliers for ultra fine cutting work, e. g. in electronics and fine mechanics
      Ground, very sharp cutting edges without bevel
      Precisely shaped tips cut wires close to a surface from Ø 0.2 mm
      Shear cut with controlled micro cutting edge misalignment for the most precise cutting of even the thinnest of wires and for a long service life
      Joint with stainless steel rivet
      Extremely smooth movement for minimum operator fatigue
      With opening spring and opening limiter"
Electronics pliers,Electronic Super Knips®,https://www.knipex.com/products/electronics-pliers/electronic-super-knips/electronic-super-knips/7841125,https://www.knipex.com/sites/default/files/styles/knipex_product_detail/public/IM0006601.jpg?itok=OyUV_coc,"With lead catcher - no uncontrolled loss of cut wire ends
      With narrow head
      Cutting edges additionally induction-hardened, cutting edge hardness approx. 60 HRC
      Special tool steel, burnished
      Precision pliers for ultra fine cutting work, e. g. in electronics and fine mechanics
      Ground, very sharp cutting edges without bevel
      Precisely shaped tips cut wires close to a surface from Ø 0.2 mm
      Shear cut with controlled micro cutting edge misalignment for the most precise cutting of even the thinnest of wires and for a long service life
      Joint with stainless steel rivet
      Extremely smooth movement for minimum operator fatigue
      With opening spring and opening limiter"
Cutting Pliers,High Leverage Diagonal Cutter,https://www.knipex.com/products/cutting-pliers/high-leverage-diagonal-cutters/high-leverage-diagonal-cutters/7412160,https://www.knipex.com/sites/default/files/styles/knipex_product_detail/public/IM0006766.jpg?itok=jPEhSmdr,"For very tough, continuous use
      High cutting performance with minimum effort due to optimum coordination of the cutting edge angle and transmission ratio
      Precision cutting edges additionally induction-hardened (cutting edge hardness approx. 64 HRC), for all sorts of wire including piano wire
      With opening spring; to be activated if required
      Chrome vanadium heavy-duty steel, forged, multi stage oil-hardened"
Insulated Tools,Diagonal Cutter,https://www.knipex.com/products/cutting-pliers/diagonal-cutters/diagonal-cutters/7006160,https://www.knipex.com/sites/default/files/styles/knipex_product_detail/public/IM0006989.jpg?itok=B-2cN_g9,"With elongated cutting edge
      The indispensable diagonal cutter for all-round use
      High-quality material and precise workmanship for long service life
      Precision cutting edges for soft and hard wire
      Clean cutting of thin copper wires, also at the cutting edge tips
      Cutting edges additionally induction-hardened, cutting edge hardness approx. 62 HRC
      Narrow head style for use in confined areas
      VDE-tested safety up to 1000 volts
      With bevel
      Vanadium electric steel, forged, multi stage oil-hardened"
Cutting Pliers,Diagonal Cutter,https://www.knipex.com/products/cutting-pliers/diagonal-cutters/diagonal-cutters/7001180,https://www.knipex.com/sites/default/files/styles/knipex_product_detail/public/IM0007028.jpg?itok=XcUkse2_,"The indispensable diagonal cutter for all-round use
      High-quality material and precise workmanship for long service life
      Precision cutting edges for soft and hard wire
      Clean cutting of thin copper wires, also at the cutting edge tips
      Cutting edges additionally induction-hardened, cutting edge hardness approx. 62 HRC
      Narrow head style for use in confined areas
      Vanadium electric steel, forged, multi stage oil-hardened"
Cutting Pliers,KNIPEX CoBolt®,https://www.knipex.com/products/cutting-pliers/knipex-cobolt-compact-bolt-cutters/knipex-coboltcompact-bolt-cutters/7122200,https://www.knipex.com/sites/default/files/styles/knipex_product_detail/public/IM0006936.jpg?itok=vDG-9uP3,"With slim multi-component grips without collar for better handling and easier transport
      Opening spring and locking device are integrated in the handles also for comfortable work and protected transport
      With precision cutting edges for soft, hard and piano wire
      Cuts bolts, nails, rivets, etc. up to Ø 5.2 mm
      Efficient joint design ensures exceptional cutting performance with little effort
      Cutting edges additionally induction-hardened, cutting edge hardness approx. 64 HRC
      20° angled head with joint bar on one side and side cutter for almost flush cutting, with space for gripping
      Chrome vanadium heavy-duty steel, forged, multi stage oil-hardened"
Cutting Pliers,High Leverage Diagonal Cutter,https://www.knipex.com/products/cutting-pliers/high-leverage-diagonal-cutters/high-leverage-diagonal-cutters/7402200,https://www.knipex.com/sites/default/files/styles/knipex_product_detail/public/IM0006819.jpg?itok=b6qMX3x1,"For very tough, continuous use
      High cutting performance with minimum effort due to optimum coordination of the cutting edge angle and transmission ratio
      Precision cutting edges additionally induction-hardened (cutting edge hardness approx. 64 HRC), for all sorts of wire including piano wire
      Chrome vanadium heavy-duty steel, forged, multi stage oil-hardened"
Cutting Pliers,High Leverage Diagonal Cutter,https://www.knipex.com/products/cutting-pliers/high-leverage-diagonal-cutters/high-leverage-diagonal-cutters/7405250,https://www.knipex.com/sites/default/files/styles/knipex_product_detail/public/IM0006795.jpg?itok=UB-xcdS9,"For very tough, continuous use
      High cutting performance with minimum effort due to optimum coordination of the cutting edge angle and transmission ratio
      Precision cutting edges additionally induction-hardened (cutting edge hardness approx. 64 HRC), for all sorts of wire including piano wire
      Chrome vanadium heavy-duty steel, forged, multi stage oil-hardened"
